"sarga","sloka_number","meaning","rephrase_meaning","rephrase_meaningKn"
"1","1","My prostrations to the resplendent Lord Narayana, the prime abode of every auspicious attribute, the efficient cause of all existence, the master of (Goddess) Mahalakshmi and Mukhyaprana and similar in splendour to the early rising sun.","I offer my reverent salutations to the radiant Lord Narayana, the supreme dwelling place of all blessed qualities, the creator and source of everything that exists, the lord of Goddess Mahalakshmi and Mukhyaprana, whose brilliance matches that of the dawn sun.","ಎಲ್ಲಾ ಶುಭಗುಣಗಳ ಪರಮ ನಿವಾಸ, ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ಎಲ್ಲದರ ಸೃಷ್ಟಿಕರ್ತ ಮತ್ತು ಮೂಲ, ಮಹಾಲಕ್ಷ್ಮಿ ಮತ್ತು ಮುಖ್ಯಪ್ರಾಣನ ಪ್ರಭು, ಪ್ರಭಾತದ ಸೂರ್ಯನ ಕಾಂತಿಗೆ ಸಮಾನವಾದ ಪ್ರಕಾಶವನ್ನುಳ್ಳ ಪ್ರಕಾಶಮಾನರಾದ ಶ್ರೀ ನಾರಾಯಣನಿಗೆ ನನ್ನ ಭಕ್ತಿಪೂರ್ವಕ ನಮಸ್ಕಾರಗಳನ್ನು ಸಮರ್ಪಿಸುತ್ತೇನೆ."
"1","2","(This verse admits of two meanings, as the adjectives are so chosen that they apply both to Lord Vedavyasa and Lord Krishna.) a) My salutations to Lord Vedavyasa (Vasista-Krishna) dear to Bhīma (Pandavas, the consorts of Droupadi) who scintillated with the lustre of his dark blue-colour like that of a cloud, safeguarding the eternal Vedas in its immaculate form. b) My respectful homage to Lord Krishna (Yadava-Krishna), highly honoured by the Pandavas who dazzled with his dark-blue colour similar to that of a cloud, guarding Gokula and the herds of cows, free from fear (of the fierce animals).","(This verse carries dual significance, with descriptive terms applying equally to Lord Vedavyasa and Lord Krishna.) a) I bow to Lord Vedavyasa (Vasista-Krishna), beloved by Bhīma and the Pandavas (husbands of Draupadi), who radiated with a deep blue brilliance resembling a cloud, preserving the timeless Vedas in their pure and perfect state. b) I pay my humble respects to Lord Krishna (Yadava-Krishna), greatly revered by the Pandavas, who shone with a cloud-like dark blue radiance, protecting Gokula and its cattle herds from all danger (of wild beasts).","(ಈ ಶ್ಲೋಕವು ದ್ವಿವಿಧ ಅರ್ಥವನ್ನು ಹೊಂದಿದ್ದು, ವಿವರಣಾತ್ಮಕ ಪದಗಳು ವೇದವ್ಯಾಸ ಮತ್ತು ಕೃಷ್ಣ ಇಬ್ಬರಿಗೂ ಸಮಾನವಾಗಿ ಅನ್ವಯಿಸುತ್ತವೆ.) ಎ) ಮೇಘದಂತೆ ಗಾಢ ನೀಲ ಕಾಂತಿಯಿಂದ ಪ್ರಕಾಶಿಸುತ್ತಾ, ಶಾಶ್ವತ ವೇದಗಳನ್ನು ಅವುಗಳ ಶುದ್ಧ ಮತ್ತು ಪರಿಪೂರ್ಣ ಸ್ಥಿತಿಯಲ್ಲಿ ಸಂರಕ್ಷಿಸಿದ, ಭೀಮ ಮತ್ತು ಪಾಂಡವರಿಗೆ (ದ್ರೌಪದಿಯ ಪತಿಗಳು) ಪ್ರಿಯರಾದ ವೇದವ್ಯಾಸರಿಗೆ (ವಸಿಷ್ಠ-ಕೃಷ್ಣ) ನಾನು ನಮಿಸುತ್ತೇನೆ. ಬಿ) ಮೇಘದಂತಹ ಕಪ್ಪು ನೀಲ ಪ್ರಭೆಯಿಂದ ಹೊಳೆಯುತ್ತಾ, ಗೋಕುಲ ಮತ್ತು ಅದರ ಗೋಸಂಪತ್ತನ್ನು ಎಲ್ಲಾ ಅಪಾಯದಿಂದ (ಕಾಡುಮೃಗಗಳಿಂದ) ರಕ್ಷಿಸಿದ, ಪಾಂಡವರಿಂದ ಅತ್ಯಂತ ಗೌರವಿಸಲ್ಪಟ್ಟ ಶ್ರೀ ಕೃಷ್ಣನಿಗೆ (ಯಾದವ-ಕೃಷ್ಣ) ನನ್ನ ವಿನಯಪೂರ್ಣ ನಮಸ್ಕಾರಗಳು."
"1","3","May the glory of Anandatheertha who excels the splendour of the Sun endow us with light divine. The sun can only light the three worlds and removes the outer darkness while Acharya Madhwa shines outside the universe also and dissipates the ignorance within.","Let the radiance of Anandatheertha, surpassing even the sun's brilliance, grant us divine illumination. While the sun merely illuminates the three realms and dispels external obscurity, Acharya Madhwa's light extends beyond the cosmos itself, removing the inner darkness of ignorance.","ಸೂರ್ಯನ ಪ್ರಕಾಶವನ್ನು ಸಹ ಮೀರಿದ ಆನಂದತೀರ್ಥರ ತೇಜಸ್ಸು ನಮಗೆ ದಿವ್ಯ ಜ್ಞಾನವನ್ನು ನೀಡಲಿ. ಸೂರ್ಯನು ಕೇವಲ ಮೂರು ಲೋಕಗಳನ್ನು ಬೆಳಗಿಸುತ್ತಾನೆ ಮತ್ತು ಬಾಹ್ಯ ಕತ್ತಲೆಯನ್ನು ದೂರ ಮಾಡುತ್ತಾನೆ, ಆದರೆ ಆಚಾರ್ಯ ಮಧ್ವರ ಬೆಳಕು ಬ್ರಹ್ಮಾಂಡವನ್ನೇ ಮೀರಿ ವ್ಯಾಪಿಸುತ್ತದೆ, ಅಜ್ಞಾನದ ಆಂತರಿಕ ಕತ್ತಲೆಯನ್ನು ತೆಗೆದುಹಾಕುತ್ತದೆ."
"1","4","Obeisance to my revered father, Acharya Trivikrama the renowned pundit, whose precious volume Tatwapradeepa dispels the darkness and yields delight like the moon dispersing the gloom and pleasing the people with her pleasant light (rays).","I pay homage to my esteemed father, the celebrated scholar Acharya Trivikrama, whose treasured work Tatwapradeepa removes darkness and brings joy, much like the moon that scatters shadows and delights people with its soothing radiance (beams).","ತತ್ವಪ್ರದೀಪ ಎಂಬ ಅಮೂಲ್ಯ ಕೃತಿಯು ಕತ್ತಲೆಯನ್ನು ತೊಲಗಿಸಿ ಆನಂದವನ್ನು ತರುತ್ತದೆ, ಅದೇ ರೀತಿ ಚಂದ್ರನು ನೆರಳುಗಳನ್ನು ಚದುರಿಸಿ ತನ್ನ ಸಾಂತ್ವನಕಾರಿ ಕಾಂತಿಯಿಂದ (ಕಿರಣಗಳು) ಜನರನ್ನು ಸಂತೋಷಪಡಿಸುತ್ತಾನೆ, ಅಂತಹ ನನ್ನ ಗೌರವಾನ್ವಿತ ತಂದೆ, ಪ್ರಸಿದ್ಧ ವಿದ್ವಾಂಸರಾದ ಆಚಾರ್ಯ ತ್ರಿವಿಕ್ರಮರಿಗೆ ನಾನು ವಂದಿಸುತ್ತೇನೆ."
"1","5","I will relate the splendid spotless glories of the incarnations of Mukhyaprana, the preceptor of the world, for the welfare of the eligible souls as an intense devotion to the Guru (whose instruction) leads to the incessant love of God (Lord Mukunda).","I shall narrate the magnificent and pure accounts of Mukhyaprana's incarnations, the spiritual guide of the world, for the benefit of worthy souls, since profound dedication to the Guru (and his teachings) cultivates unwavering devotion to the Divine (Lord Mukunda).","ಗುರುವಿನಲ್ಲಿ (ಮತ್ತು ಅವರ ಬೋಧನೆಗಳಲ್ಲಿ) ಗಾಢ ಭಕ್ತಿಯು ದೈವದಲ್ಲಿ (ಶ್ರೀ ಮುಕುಂದನಲ್ಲಿ) ಅಚಲವಾದ ಭಕ್ತಿಯನ್ನು ಬೆಳೆಸುವುದರಿಂದ, ಯೋಗ್ಯ ಆತ್ಮಗಳ ಹಿತಕ್ಕಾಗಿ ಲೋಕದ ಆಧ್ಯಾತ್ಮಿಕ ಮಾರ್ಗದರ್ಶಕರಾದ ಮುಖ್ಯಪ್ರಾಣನ ಅವತಾರಗಳ ಭವ್ಯ ಮತ್ತು ಪವಿತ್ರ ಕಥನಗಳನ್ನು ನಾನು ವರ್ಣಿಸುತ್ತೇನೆ."
"1","6","May the meritorious be merciful to me who not so wise, ventures to describe in brief the celebrated excellences of Lord Vayu, fit to be detailed in dignified Vedic parlance by eminent divines like Mahesha, Devendra and others.","May those who are virtuous show compassion toward me, who lacking profound wisdom, dares to briefly describe the famed virtues of Lord Vayu, which are worthy of elaborate explanation in sacred Vedic language by great divine beings such as Mahesha, Devendra and others.","ಮಹೇಶ, ದೇವೇಂದ್ರ ಮತ್ತು ಇತರರಂತಹ ಮಹಾನ್ ದಿವ್ಯ ಜೀವಿಗಳಿಂದ ಪವಿತ್ರ ವೈದಿಕ ಭಾಷೆಯಲ್ಲಿ ವಿಸ್ತಾರವಾದ ವಿವರಣೆಗೆ ಯೋಗ್ಯವಾದ ವಾಯು ದೇವರ ಪ್ರಸಿದ್ಧ ಗುಣಗಳನ್ನು ಸಂಕ್ಷಿಪ್ತವಾಗಿ ವರ್ಣಿಸಲು, ಆಳವಾದ ಜ್ಞಾನವಿಲ್ಲದೆ ಧೈರ್ಯ ಮಾಡುವ ನನ್ನ ಮೇಲೆ ಸದ್ಗುಣಶೀಲರು ದಯೆ ತೋರಲಿ."
"1","7","How to pick and choose among the wonderful and unique deeds of Mukhyaprana when every human activity however great or small is being propelled and regulated by him? Yet, enough to say that the recital of the glories of the illustrious who are like crest-jewels ennobles our minds. (Makes our lives sublime)","How can one select from among the marvelous and extraordinary acts of Mukhyaprana when he drives and controls every human action, whether significant or trivial? Nevertheless, it suffices to note that contemplating the achievements of such illustrious beings, who shine like crown jewels, elevates our consciousness. (Enriches our existence)","ಮಹತ್ವಪೂರ್ಣವಾಗಲಿ ಅಥವಾ ಕ್ಷುಲ್ಲಕವಾಗಲಿ, ಪ್ರತಿಯೊಂದು ಮಾನವ ಕ್ರಿಯೆಯನ್ನು ನಡೆಸುವ ಮತ್ತು ನಿಯಂತ್ರಿಸುವ ಮುಖ್ಯಪ್ರಾಣನ ಅದ್ಭುತ ಮತ್ತು ಅಸಾಧಾರಣ ಕಾರ್ಯಗಳಲ್ಲಿ ಒಬ್ಬರು ಹೇಗೆ ಆಯ್ಕೆ ಮಾಡಬಹುದು? ಆದಾಗ್ಯೂ, ಕಿರೀಟ ರತ್ನಗಳಂತೆ ಹೊಳೆಯುವ ಅಂತಹ ವಿಶಿಷ್ಟ ಜೀವಿಗಳ ಸಾಧನೆಗಳನ್ನು ಚಿಂತಿಸುವುದು ನಮ್ಮ ಪ್ರಜ್ಞೆಯನ್ನು ಉನ್ನತಗೊಳಿಸುತ್ತದೆ ಎಂದು ಗಮನಿಸಿದರೆ ಸಾಕು. (ನಮ್ಮ ಅಸ್ತಿತ್ವವನ್ನು ಸಮೃದ್ಧಗೊಳಿಸುತ್ತದೆ)"
"1","8","Let the enlightened excuse me who void of deep vision is yet zealous to weave a garland of pearls in the form exquisite exploits of Lord Vayu, unmindful of the transgression of sequence in the events described.","May the wise forgive me who, lacking penetrating insight yet eager to create a string of gems in the form of Lord Vayu's beautiful accomplishments, remain unconcerned about any chronological inconsistencies in the narration of events.","ವಾಯು ದೇವರ ಸುಂದರ ಸಾಧನೆಗಳ ರೂಪದಲ್ಲಿ ರತ್ನಮಾಲೆಯನ್ನು ರಚಿಸಲು ಉತ್ಸುಕನಾಗಿದ್ದರೂ ತೀಕ್ಷ್ಣ ಒಳನೋಟವಿಲ್ಲದ ನಾನು, ಘಟನೆಗಳ ವರ್ಣನೆಯಲ್ಲಿ ಯಾವುದೇ ಕಾಲಾನುಕ್ರಮ ಅಸಂಗತತೆಗಳ ಬಗ್ಗೆ ಕಾಳಜಿ ವಹಿಸದೆ ಇರುವುದರಿಂದ, ವಿವೇಕಿಗಳು ನನ್ನನ್ನು ಕ್ಷಮಿಸಲಿ."
"1","9","Implicitly obeying the mandate of Lord Narayana (beloved of Goddess Mahalakshmi) deserving to be highly honoured by the three Worlds and respecting the earnest entreaties of the eminent Gods like Mahadeva and others, Mukhyaprana the prime-mover of infinite Jivas, the lord of the Presiding deities of various organs like Indra and others, the preceptor of the eligible souls manifested as the son of Anjanadevi, the wife of the monkeychief Kesari.","Following faithfully the command of Lord Narayana (cherished by Goddess Mahalakshmi), who merits supreme veneration from the three Worlds, and honoring the sincere appeals of distinguished deities including Mahadeva and others, Mukhyaprana—the primary force behind countless souls, the master of the organ-governing deities such as Indra and others, the spiritual teacher of deserving beings—incarnated as the offspring of Anjanadevi, spouse of the monkey leader Kesari.","ಮೂರು ಲೋಕಗಳಿಂದ ಪರಮ ವಂದನೆಗೆ ಅರ್ಹರಾದ, (ಮಹಾಲಕ್ಷ್ಮಿಯಿಂದ ಪ್ರೀತಿಸಲ್ಪಟ್ಟ) ಶ್ರೀ ನಾರಾಯಣನ ಆಜ್ಞೆಯನ್ನು ನಿಷ್ಠೆಯಿಂದ ಅನುಸರಿಸಿ, ಮತ್ತು ಮಹಾದೇವ ಮತ್ತು ಇತರರು ಸೇರಿದಂತೆ ವಿಶಿಷ್ಟ ದೇವತೆಗಳ ಪ್ರಾಮಾಣಿಕ ಮನವಿಗಳನ್ನು ಗೌರವಿಸಿ, ಲೆಕ್ಕವಿಲ್ಲದ ಆತ್ಮಗಳ ಮುಖ್ಯ ಶಕ್ತಿ, ಇಂದ್ರ ಮತ್ತು ಇತರರಂತಹ ಅಂಗ-ಆಡಳಿತ ದೇವತೆಗಳ ಯಜಮಾನ, ಯೋಗ್ಯ ಜೀವಿಗಳ ಆಧ್ಯಾತ್ಮಿಕ ಗುರು - ಮುಖ್ಯಪ್ರಾಣನು ವಾನರ ನಾಯಕ ಕೇಸರಿಯ ಪತ್ನಿಯಾದ ಅಂಜನಾದೇವಿಯ ಸಂತತಿಯಾಗಿ ಅವತರಿಸಿದರು."
"1","10","All the renowned qualities (like knowledge and devotion) celebrated in the world indicate the lustrous son of Kesari (incarnation of Mukhyaprana) the distinguished devotee of Lord Narayana called Hanuman, as their outstanding exemplar.","All the famous virtues (such as wisdom and devotion) known throughout the world point to the brilliant son of Kesari (manifestation of Mukhyaprana), the exceptional devotee of Lord Narayana known as Hanuman, as their perfect embodiment.","ಲೋಕದಾದ್ಯಂತ ಪ್ರಸಿದ್ಧವಾದ ಎಲ್ಲಾ ಪ್ರಸಿದ್ಧ ಗುಣಗಳು (ಜ್ಞಾನ ಮತ್ತು ಭಕ್ತಿಯಂತಹ) ಕೇಸರಿಯ ಪ್ರತಿಭಾವಂತ ಮಗ (ಮುಖ್ಯಪ್ರಾಣನ ಅವತಾರ), ಹನುಮಂತ ಎಂದು ಕರೆಯಲ್ಪಡುವ ಶ್ರೀ ನಾರಾಯಣನ ಅಸಾಧಾರಣ ಭಕ್ತನನ್ನು ಅವುಗಳ ಪರಿಪೂರ್ಣ ಸಾಕಾರವಾಗಿ ಸೂಚಿಸುತ್ತವೆ."
